filename;Xi-square;RS-analyse;AUMP
24_stego_lab3_50.bmp;1;1;1
24_stego_lab3_100.bmp;1;0;1
25_stego_lab3_50.bmp;1;1;0
25_stego_lab3_100.bmp;1;1;0
26_stego_lab3_50.bmp;1;1;1
26_stego_lab3_100.bmp;1;1;0
27_stego_lab3_50.bmp;1;0;1
27_stego_lab3_100.bmp;1;0;0
28_stego_lab3_50.bmp;1;1;0
28_stego_lab3_100.bmp;1;1;0
29_stego_lab3_50.bmp;1;0;0
29_stego_lab3_100.bmp;1;0;0
30_stego_lab3_50.bmp;1;1;1
30_stego_lab3_100.bmp;1;1;1
31_stego_lab3_50.bmp;1;0;1
31_stego_lab3_100.bmp;1;1;0
32_stego_lab3_50.bmp;1;0;0
32_stego_lab3_100.bmp;1;0;0
33_stego_lab3_50.bmp;1;1;1
33_stego_lab3_100.bmp;1;0;0
34_stego_lab3_50.bmp;1;1;0
34_stego_lab3_100.bmp;1;1;0
35_stego_lab3_50.bmp;1;1;1
35_stego_lab3_100.bmp;1;0;1
36_stego_lab3_50.bmp;1;1;1
36_stego_lab3_100.bmp;1;1;1
37_stego_lab3_50.bmp;1;1;1
37_stego_lab3_100.bmp;1;1;1
38_stego_lab3_50.bmp;1;1;1
38_stego_lab3_100.bmp;1;0;0
39_stego_lab3_50.bmp;1;0;0
39_stego_lab3_100.bmp;1;0;0
40_stego_lab3_50.bmp;1;1;1
40_stego_lab3_100.bmp;1;1;0
41_stego_lab3_50.bmp;1;1;1
41_stego_lab3_100.bmp;1;0;1
42_stego_lab3_50.bmp;1;1;0
42_stego_lab3_100.bmp;1;0;0
43_stego_lab3_50.bmp;1;1;1
43_stego_lab3_100.bmp;1;1;1
44_stego_lab3_50.bmp;1;1;1
44_stego_lab3_100.bmp;1;1;0
45_stego_lab3_50.bmp;1;1;0
45_stego_lab3_100.bmp;1;1;0
46_stego_lab3_50.bmp;1;1;0
46_stego_lab3_100.bmp;1;0;1
47_stego_lab3_50.bmp;1;1;0
47_stego_lab3_100.bmp;1;1;0
48_stego_lab3_50.bmp;1;1;1
48_stego_lab3_100.bmp;1;0;0
49_stego_lab3_50.bmp;1;0;1
49_stego_lab3_100.bmp;1;0;1
50_stego_lab3_50.bmp;1;1;1
50_stego_lab3_100.bmp;1;1;1
1_stego_lab4_50.bmp;1;1;1
1_stego_lab4_100.bmp;1;1;1
2_stego_lab4_50.bmp;1;1;1
2_stego_lab4_100.bmp;1;0;1
3_stego_lab4_50.bmp;1;1;1
3_stego_lab4_100.bmp;1;1;1
4_stego_lab4_50.bmp;0;1;0
4_stego_lab4_100.bmp;0;1;0
5_stego_lab4_50.bmp;0;0;1
5_stego_lab4_100.bmp;0;0;1
6_stego_lab4_50.bmp;0;1;1
6_stego_lab4_100.bmp;0;1;1
7_stego_lab4_50.bmp;1;1;1
7_stego_lab4_100.bmp;1;1;1
8_stego_lab4_50.bmp;0;1;1
8_stego_lab4_100.bmp;0;1;1
9_stego_lab4_50.bmp;0;0;1
9_stego_lab4_100.bmp;0;1;1
10_stego_lab4_50.bmp;0;0;1
10_stego_lab4_100.bmp;0;0;1
11_stego_lab4_50.bmp;0;0;1
11_stego_lab4_100.bmp;0;1;1
12_stego_lab4_50.bmp;0;1;0
12_stego_lab4_100.bmp;0;1;1
13_stego_lab4_50.bmp;0;1;0
13_stego_lab4_100.bmp;0;0;0
14_stego_lab4_50.bmp;1;1;1
14_stego_lab4_100.bmp;1;1;1
15_stego_lab4_50.bmp;0;1;1
15_stego_lab4_100.bmp;0;1;1
16_stego_lab4_50.bmp;1;1;0
16_stego_lab4_100.bmp;1;1;0
17_stego_lab4_50.bmp;1;1;1
17_stego_lab4_100.bmp;1;1;1
18_stego_lab4_50.bmp;1;1;1
18_stego_lab4_100.bmp;1;1;1
19_stego_lab4_50.bmp;0;1;1
19_stego_lab4_100.bmp;0;0;1
20_stego_lab4_50.bmp;0;1;0
20_stego_lab4_100.bmp;0;1;1
21_stego_lab4_50.bmp;1;1;1
21_stego_lab4_100.bmp;1;1;1
22_stego_lab4_50.bmp;0;1;1
22_stego_lab4_100.bmp;0;1;1
23_stego_lab4_50.bmp;1;1;1
23_stego_lab4_100.bmp;1;1;1
24_stego_lab4_50.bmp;1;1;1
24_stego_lab4_100.bmp;1;1;1
25_stego_lab4_50.bmp;1;1;1
25_stego_lab4_100.bmp;1;1;1
26_stego_lab4_50.bmp;0;1;1
26_stego_lab4_100.bmp;0;1;1
27_stego_lab4_50.bmp;0;0;0
27_stego_lab4_100.bmp;0;0;0
28_stego_lab4_50.bmp;1;1;0
28_stego_lab4_100.bmp;1;1;0
29_stego_lab4_50.bmp;0;0;1
29_stego_lab4_100.bmp;0;0;0
30_stego_lab4_50.bmp;0;1;1
30_stego_lab4_100.bmp;0;1;1
31_stego_lab4_50.bmp;0;0;1
31_stego_lab4_100.bmp;0;0;1
32_stego_lab4_50.bmp;1;0;0
32_stego_lab4_100.bmp;1;0;1
33_stego_lab4_50.bmp;0;0;1
33_stego_lab4_100.bmp;0;0;1
34_stego_lab4_50.bmp;0;1;0
34_stego_lab4_100.bmp;0;1;0
35_stego_lab4_50.bmp;1;1;0
35_stego_lab4_100.bmp;1;1;0
36_stego_lab4_50.bmp;1;1;1
36_stego_lab4_100.bmp;1;1;1
37_stego_lab4_50.bmp;1;1;1
37_stego_lab4_100.bmp;1;1;1
38_stego_lab4_50.bmp;0;1;1
38_stego_lab4_100.bmp;0;1;0
39_stego_lab4_50.bmp;0;0;1
39_stego_lab4_100.bmp;0;0;0
40_stego_lab4_50.bmp;1;1;1
40_stego_lab4_100.bmp;1;0;1
41_stego_lab4_50.bmp;1;1;1
41_stego_lab4_100.bmp;1;1;1
42_stego_lab4_50.bmp;0;0;1
42_stego_lab4_100.bmp;0;0;1
43_stego_lab4_50.bmp;1;0;0
43_stego_lab4_100.bmp;1;0;0
44_stego_lab4_50.bmp;1;1;1
44_stego_lab4_100.bmp;1;1;1
45_stego_lab4_50.bmp;0;1;1
45_stego_lab4_100.bmp;0;1;1
46_stego_lab4_50.bmp;1;0;0
46_stego_lab4_100.bmp;1;0;0
47_stego_lab4_50.bmp;0;1;1
47_stego_lab4_100.bmp;0;1;1
48_stego_lab4_50.bmp;0;0;1
48_stego_lab4_100.bmp;0;0;1
49_stego_lab4_50.bmp;1;1;1
49_stego_lab4_100.bmp;1;1;1
50_stego_lab4_50.bmp;1;1;0
50_stego_lab4_100.bmp;1;1;0
